DateOfDataEntry,Square,Member,SubMember,ToolNumber,RawMaterial,OtherRaw MaterialID,CoreTypology,OverallCortexArea,CortexType,CoreArtifactClass,EvidenceBipolar,NumberCoreFaces,WhichIsPlatform,CoreBlankSphericity,IntendedProduct,CoreSubTypology,ConardUnifiedType,BipolarChronology,DegreeOfKnappingAlongCircumference,OverallScarCount,LengthLongestFlakeScar,MaxLength,MaxWidth,MaxThickness,Mass,OtherNotes,Photograph,FeatureName
25/07/2023,O14,CL,CL2,916,FineChert,,Core>2flakescars,1-10%,Cobble,CoreFrag,Yes,Four,One,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Parallel,NoFH,180-270,3,20.22,20.22,9.51,6.68,1.79,,Yes,N/A
26/07/2023,O14,CL,CL3,937,FineChert,,Core>2flakescars,11-40%,Cobble,CompCore,Yes,MoreThanFour,One,SphericalOrCubic,Flake,Irregularcore,Platform,NoFH,90-180,4,17.43,20.74,10.63,13.41,2.78,,Yes,Mousehole
26/07/2023,O14,CL,CL3,925,HeterogenousChert,,Core>2flakescars,0%,,CompCore,Yes,Four,One,SphericalOrCubic,Flake,Irregularcore,Platform,NoFH,180-270,3,23.61,24.88,19.82,14.27,7.63,,Yes,AF9 U
21/07/2023,P13,CL,CL4,862,VeinQuartz,,Core>2flakescars,1-10%,Outcrop,CompCore,Yes,Four,Four,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Bipolar,NoFH,180-270,3,12.37,13.62,7.35,4.51,0.61,,Yes,GGG
21/07/2023,P13,CL,CL4,863,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,Three,None,SphericalOrCubic,BladeBladelet,FlatBladeletCore,Inclined,NoFH,270-360,4,14.66,14.69,5.42,4.21,0.45,,Yes,GGG
21/07/2023,P13,CL,CL2,872,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,MoreThanFour,None,SphericalOrCubic,BladeBladelet,Bladeletcore,Bipolar,NoFH,180-270,6,13.58,19.88,13.85,10.96,5.51,,Yes,N/A
24/07/2023,P13,CL,CL3,893,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,None,SphericalOrCubic,Flake,Radialcore,Bipolar,NoFH,270-360,4,14.44,14.48,7.47,8.56,1.22,,No,MOT.ASH
24/07/2023,P13,CL,CL3,894,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,Three,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Bipolar,NoFH,270-360,2,13.25,13.25,6.31,4.55,0.37,,No,MOT.ASH
24/07/2023,P13,CL,CL3,895,VeinQuartz,,Core>2flakescars,0%,,CoreFrag,Yes,Four,None,NotSphericalFlat,BladeBladelet,FlatBladeletCore,Bipolar,NoFH,180-270,3,14.58,15.51,8.1,6.99,1.01,,No,MOT.ASH
24/07/2023,P13,CL,CL3,896,VeinQuartz,,Core>2flakescars,0%,,CompCore,Yes,Four,None,NotSphericalFlat,Flake,CoreReducedPiece,Bipolar,NoFH,180-270,5,10.48,13.53,8.68,5.36,0.79,recycled bipolar core,Yes,MOT.ASH
